"","author","title_freq","lang_freq","place_freq","standard_res"
"13","Aichinger, Ilse",23,15,20,-2.31752160140507
"107","Birkner, Friede",74,3,3,5.50780466595631
"118","Bomann, Corina",88,15,21,2.70616112838819
"197","Courths-Mahler, Hedwig",374,9,18,26.4076063155306
"242","Dragnić, Nataša",28,22,23,-2.5763840440361
"311","Franck, Julia",54,28,30,-2.0237208689236
"339","George, Nina",51,24,30,-2.2669900937681
"451","Hermann, Judith",63,26,36,-2.63016689852963
"514","Jelinek, Elfriede",268,38,72,6.39160263768987
"655","Lark, Sarah",181,21,28,8.70478488970606
"656","Lasker-Schüler, Else",29,15,26,-3.16015449716244
"688","Link, Charlotte",237,24,40,10.6946952283512
"696","Lorentz, Iny",60,9,11,2.63477575177435
"719","Maron, Monika",27,18,23,-2.65714161794738
"735","Mayröcker, Friederike",36,14,27,-2.81576742616342
"771","Mora, Terézia",28,20,21,-2.13473104510641
"787","Müller, Herta",198,38,60,3.13224486204938
"804","Neuhaus, Nele",141,25,37,3.50484022118974
"867","Petrowskaja, Katja",19,16,18,-2.19933276184042
"935","Roche, Charlotte",35,19,23,-2.01108102665716
"970","Schalansky, Judith",21,18,19,-2.25837552167935
"1123","Vandenberg, Patricia",34,2,2,2.51208695879012
